,total_raw_matches,good_matches_count,matching_ratio,mean_distance,std_distance,median_distance,mean_lowe_ratio,homography_found,inliers_count,inlier_ratio,mean_reprojection_error,features_ref,features_query
Baseline SIFT,2000,47,0.0235,149.91265447089012,36.82974654207671,150.43936157226562,0.9370496742595479,True,22,0.46808510638297873,1.97234,2000,2000
High-Pass Filtered,2000,16,0.008,148.89454698562622,30.416504508280475,149.0725860595703,0.9441957580122353,True,11,0.6875,1.7656571,2000,2000
Low-Pass Filtered,1553,31,0.019961365099806824,185.26448157525832,21.17304291170957,189.2220916748047,0.9500902964145,True,8,0.25806451612903225,2.16786,1553,1469
Rotated (15°),2000,42,0.021,151.1188270932152,38.06016491842351,151.2419662475586,0.9390126236104213,True,20,0.47619047619047616,2.3920078,2000,2000
